265945,,140,1,36,New York,NY,Delmar,Albany City,City,tract,12054,518,42.6460337,-73.8221332,8049524,20810,6875,2925,3950,923.67108,966,441.76101,513.68469,979,0.95403,0.8999,0.80184,0.66599,0.60776,0.43003,0.39939,0.23391,992,979,82874.25807,67023,65543.16605,1676.84174,3340,110071.95616,105235,58028.78047,499.02566,1509,1861.05533,1828,570.46466,410.58381,1451,808.40486,816,345.48063,897,501.70494,0,0,0.07155,0.61797,1,0.57416,0.56099,0.94493,0.94221,0.94686,44.81082,46.08333,22.08298,699.73884,2925,50.1601,52.5,23.77761,907.61511,3950,0.78517,0.50488,0.03121,0.00546,0.12173
265946,,140,1,36,New York,NY,Albany,Albany City,City,tract,12203,518,42.6690192,-73.8204195,1905940,0,3988,1744,2244,845.23387,841,399.72094,394.80258,641,0.9683,0.79873,0.72108,0.68621,0.52932,0.42472,0.41204,0.22979,650,631,59077.67312,54716,43018.08849,1107.09023,1895,76890.93622,71692,44149.20323,397.27133,907,1524.30181,1464,577.78544,278.12899,707,656.82182,641,247.58471,538,288.92596,0.00562,0.00562,0.05863,0.56787,0.56612,0.63493,0.66479,0.8897,0.87262,0.90385,43.99418,42.33333,21.62266,393.39711,1744,44.23198,45.16667,22.53866,569.14658,2244,0.73043,0.44786,0.0064,0.0064,0.10621
265947,,140,1,36,New York,NY,Albany,Albany City,City,tract,12208,518,42.650638,-73.7922657,870995,0,2544,1163,1381,1325.79229,1300,351.15384,76.72482,301,0.98007,0.85714,0.701,0.6412,0.46844,0.40532,0.33887,0.25914,301,301,89381.21185,77577,57728.47654,538.29187,1132,108204.06683,111119,51670.6451,198.28463,575,1650.73247,1624,495.79827,190.5626,593,594.40827,549,257.1861,238,153.15152,0,0.00963,0.09266,0.7136,0.54015,0.47489,0.33594,0.9679,0.9774,0.9582,40.77109,40.66667,19.67863,272.55915,1163,39.14298,35.41667,22.16891,384.18716,1381,0.71189,0.49329,0.02477,0,0.06914
265949,,140,1,36,New York,NY,Albany,Albany City,City,tract,12209,518,42.6350182,-73.7852769,2891045,7882,6980,3355,3625,930.16303,887,316.1696,854.43832,1495,0.95652,0.92107,0.69967,0.59064,0.46756,0.4408,0.4408,0.37191,1539,1495,57657.48465,45575,47449.79252,1661.26481,2588,57677.46936,42310,51277.5872,772.44274,1215,1470.72993,1319,690.70244,328.24366,758,537.31205,478,188.83384,291,179.38384,0.01525,0.03337,0.08961,0.72259,0.3188,0.48895,0.31475,0.87001,0.92744,0.82482,33.42689,30.08333,19.88977,995.60866,3355,36.57545,36.75,21.19839,816.3454,3625,0.37629,0.23142,0.01803,0.01766,0.09272
265950,,140,1,36,New York,NY,Albany,Albany City,City,tract,12208,518,42.6503316,-73.7775366,1460594,0,2954,1314,1640,901.63755,888,259.90491,440.25784,746,0.91057,0.80759,0.729,0.59485,0.52981,0.46883,0.44038,0.33469,755,738,53730.88686,35492,54556.31543,623.97777,914,54706.62091,34784,43500.47465,220.09144,339,1779.90852,1742,789.8587,24.51578,60,583.60778,503,186.67906,99,50.51515,0.05031,0.05031,0.05031,0.37736,0.20329,0.67375,0.90752,0.8338,0.73676,0.91388,31.03794,24.75,18.01306,407.70315,1314,30.51526,22.75,18.89519,566.48789,1640,0.18697,0.21875,0.06607,0.00982,0.03214
265955,,140,1,36,New York,NY,Cohoes,Cohoes City,City,tract,12047,518,42.7702924,-73.6881176,1515134,660347,2309,1056,1253,1142.59782,982,477.08378,358.11455,777,0.9601,0.8121,0.70013,0.56371,0.44916,0.41184,0.37452,0.27413,810,777,59702.22578,47376,48902.26965,766.90489,1229,78115.93171,73851,46779.03802,266.88546,569,1296.79623,1335,374.64234,136.75042,276,482.09487,460,178.94169,143,93,0,0,0.10024,0.65871,1,0.44048,0.4672,0.92081,0.93515,0.90973,41.34457,40.33333,19.76789,276.58939,1056,43.47647,42.08333,21.40563,304.7923,1253,0.34756,0.44514,0.07628,0.01985,0.05538
265958,,140,1,36,New York,NY,Cohoes,Cohoes City,City,tract,12047,518,42.7753767,-73.7222622,5129074,47672,6870,3030,3840,875.48126,882,284.78691,554.39702,916,0.96461,0.83219,0.67237,0.45776,0.35502,0.27169,0.24087,0.1758,931,876,69044.7389,56405,52711.22509,1567.04252,2799,83747.28911,65117,51954.38935,747.58816,1582,1558.12127,1524,653.24636,430.18391,1183,590.22276,591,242.39248,685,429.44444,0.00696,0.00696,0.07227,0.6333,0.55914,0.57106,0.52628,0.93695,0.94478,0.93065,44.96336,45.25,23.42069,735.38897,3030,47.05862,49.16667,25.39919,911.87363,3840,0.72772,0.48691,0.03686,0.00663,0.14117
265963,,140,1,36,New York,NY,Latham,Cohoes City,City,tract,12110,518,42.7642175,-73.7420167,11558461,1212130,4601,2357,2244,848.71989,755,327.16422,507.06215,682,0.97361,0.87977,0.67009,0.44135,0.3695,0.25073,0.23754,0.16129,682,682,93337.72189,75393,66772.83298,854.42225,1846,110166.81778,109661,59726.00195,388.63546,1146,2090.83081,1988,852.64399,225.35733,777,692.29937,676,263.50045,387,219.32323,0.0146,0.0146,0.08591,0.66753,0.49743,0.50596,0.44577,0.92383,0.92926,0.91858,37.58532,37.16667,21.59167,592.05342,2357,39.88958,40.08333,21.39398,524.96572,2244,0.75137,0.55716,0.06303,0.01923,0.07051
265964,,140,1,36,New York,NY,Latham,Watervliet City,City,tract,12110,518,42.7362687,-73.7471015,2966722,12128,2625,1099,1526,1089.3617,1005,339.84929,74.75509,152,1,0.78947,0.73684,0.48684,0.48684,0.34211,0.07895,0.07895,152,152,81616.80444,65512,52350.45996,515.92024,972,87437.97315,86839,48343.03272,294.81722,661,1681.1962,1601,572.02427,191.02192,565,427.03865,419,162.33532,255,182.77778,0.02073,0.02805,0.17439,0.68902,0.36592,0.17255,0.39479,0.95779,0.9385,0.97091,41.13011,42.75,22.583,261.43665,1099,44.86717,45.33333,24.8397,368.87271,1526,0.86512,0.50743,0.01592,0.01592,0.16985
265967,,140,1,36,New York,NY,Cohoes,Cohoes City,City,tract,12047,518,42.7808641,-73.7775287,18011095,2460841,6755,3106,3649,1126.27932,1096,230.56309,140.71135,431,1,0.83295,0.56381,0.49884,0.32019,0.24826,0.14849,0.14849,431,431,105526.17895,91567,71110.10244,942.72349,2466,113785.54797,103810,66349.08632,645.01237,1900,2190.25895,1985,1019.15549,352.69768,1264,662.20144,630,215.92906,771,426.05051,0,0,0.20983,0.62113,1,0.10042,0.55414,0.98129,0.98259,0.98014,41.15063,43,21.66854,856.99369,3106,39.09433,40.58333,21.2595,869.92783,3649,0.85837,0.60052,0.03245,0.01268,0.0884
